id,catégorie,sous_catégorie,marque,modèle,processeur,carte_graphique,mémoire_ram_go,stockage_go,type_stockage,écran_pouces,prix_cad,note_clients_sur_5,poids_kg,stock_disponible,couleur,système,réseau,ports_usb,année_modèle,description,pays,devise,date_génération
1,Portable de gaming,Haut de gamme,ASUS,ROG Strix 350-B27-Pro,AMD Ryzen 9 7950X3D,AMD Radeon RX 7700 XT,48,256,SSD NVMe,15.6,1932.3,4.7,2.7,47,argent,Windows 11 Famille,Wi‑Fi 7,4,2025,PC de jeu puissant avec processeur AMD Ryzen 9 7950X3D et AMD Radeon RX 7700 XT; idéal pour des performances élevées en 1440p.,Canada,CAD,2025-10-06
2,Portable de gaming,Haut de gamme,Razer,Blade 15 529-B67-SE,Intel Core i5-13400F,AMD Radeon RX 7900 XT,16,2000,SSD NVMe,15.6,2395.65,5,2.41,36,noir,Windows 11 Pro,Wi‑Fi 6,4,2024,PC de jeu puissant avec processeur Intel Core i5-13400F et AMD Radeon RX 7900 XT; idéal pour des performances élevées en 1440p.,Canada,CAD,2025-10-06
3,Portable de gaming,Haut de gamme,Dell,XPS Gaming 370-A68-SE,AMD Ryzen 5 7600,NVIDIA GeForce RTX 4060,48,1000,SSD SATA,17.3,2036.43,4.2,2.31,18,bleu,Windows 11 Pro,Wi‑Fi 6,5,2025,PC de jeu puissant avec processeur AMD Ryzen 5 7600 et NVIDIA GeForce RTX 4060; idéal pour des performances élevées en 1440p.,Canada,CAD,2025-10-06
4,Ordinateur de bureau,Milieu de gamme,MSI,Vector 181-B22-Pro,AMD Ryzen 5 7600,AMD Radeon RX 7700 XT,24,512,SSD NVMe,0,1631.14,3.5,11.23,16,noir/rouge,Windows 11 Pro,Wi‑Fi 7,4,2025,PC de jeu puissant avec processeur AMD Ryzen 5 7600 et AMD Radeon RX 7700 XT; idéal pour des performances élevées en 1440p.,Canada,CAD,2025-10-06
5,Ordinateur de bureau,Haut de gamme,Acer,Predator Orion 267-D58-X,AMD Ryzen 9 7950X3D,AMD Radeon RX 7700 XT,48,512,SSD NVMe,0,2253.64,3.9,7.46,3,argent,Windows 11 Famille,Wi‑Fi 6,9,2024,"Système équilibré pour AAA récents; AMD Radeon RX 7700 XT, stockage 512 Go SSD NVMe, connectivité Wi‑Fi 6.",Canada,CAD,2025-10-06
6,Portable de gaming,Milieu de gamme,HP,OMEN 680-C37-X,AMD Ryzen 5 7600,AMD Radeon RX 7700 XT,32,512,SSD NVMe,15.6,1811.62,4.4,3.09,3,noir/rouge,Windows 11 Pro,Wi‑Fi 7,4,2024,"Machine robuste au châssis soigné; ventilateurs silencieux, performances stables et mise à niveau facile.",Canada,CAD,2025-10-06
7,Ordinateur de bureau,Haut de gamme,Alienware,x16 241-E73-X,Intel Core i5-13400F,AMD Radeon RX 7900 XT,8,512,SSD NVMe,0,2242.22,3.8,8.87,30,bleu,Windows 11 Pro,Wi‑Fi 6,8,2024,"Système équilibré pour AAA récents; AMD Radeon RX 7900 XT, stockage 512 Go SSD NVMe, connectivité Wi‑Fi 6.",Canada,CAD,2025-10-06
8,Portable de gaming,Entrée de gamme,Gigabyte,AERO 666-A97-Pro,AMD Ryzen 9 7950X3D,AMD Radeon RX 7600,24,1000,SSD NVMe,16,1292.79,4.1,2.26,52,noir/rouge,Windows 11 Famille,Wi‑Fi 7,4,2024,"Machine robuste au châssis soigné; ventilateurs silencieux, performances stables et mise à niveau facile.",Canada,CAD,2025-10-06
9,Portable de gaming,Milieu de gamme,Acer,Predator Orion 991-C91,Intel Core i7-13700F,NVIDIA GeForce RTX 4070,24,512,SSD NVMe,17.3,1890.66,4.8,2.49,6,blanc,Windows 11 Pro,Wi‑Fi 6,3,2023,"Ordinateur conçu pour le streaming et le montage vidéo; Intel Core i7-13700F, 24 Go de mémoire et SSD rapide.",Canada,CAD,2025-10-06
10,Ordinateur de bureau,Haut de gamme,HP,OMEN 346-E20,AMD Ryzen 5 7600,AMD Radeon RX 7900 XT,8,4000,SSD SATA,0,2616.09,3.7,11.13,27,bleu,Windows 11 Pro,Wi‑Fi 6,4,2024,"Machine robuste au châssis soigné; ventilateurs silencieux, performances stables et mise à niveau facile.",Canada,CAD,2025-10-06
